shard,ci,solo,solo24,solo22,best_w,gain,ep,arch,d,L,heads,drop,wd,lr,bs,g,h
0,0,406.5233646876498,813.0467293752996,0.0,0.05,-1.267724385567476,36,FTT,32,1.0,4.0,0.1,0.01,0.001,4096,,
0,1,519.0172630016755,777.6742632029654,260.3602628003854,0.1,4.106247584895186,26,FTT,16,2.0,4.0,0.1,0.001,0.001,4096,,
0,2,501.9205256448001,690.5132149829685,313.32783630663164,0.05,0.5935169745674216,26,FTTLite,32,3.0,4.0,0.1,0.01,0.001,8192,8.0,
0,3,449.5774732725222,618.5816473098571,280.5732992351873,0.05,1.6515801954497533,20,AFN,16,,,0.1,0.01,0.002,16384,,64.0
0,4,456.6047302898224,680.3582402878483,232.8512202917965,0.05,-1.0937640891384603,31,FTTLite,48,3.0,4.0,0.1,0.001,0.001,8192,16.0,
0,5,561.1561588791225,659.8038082419877,462.50850951625733,0.05,-0.5659787686018944,11,FTT,64,2.0,4.0,0.1,0.01,0.001,4096,,
0,6,617.3662679145875,755.9153068538716,478.8172289753034,0.15,3.35512757220215,20,FTT,16,3.0,4.0,0.1,0.01,0.001,4096,,
0,7,342.7810947628285,506.1613666714537,179.40082285420323,0.05,2.444524837663664,26,FTTLite,48,3.0,4.0,0.1,0.001,0.001,8192,8.0,
0,8,499.71249433286016,676.7625563529278,322.6624323127925,0.05,1.2821808393071024,20,AFN,8,,,0.1,0.001,0.002,16384,,64.0
0,9,516.9373324999004,763.6194920013106,270.2551729984903,0.1,4.016842352727622,26,FTT,16,2.0,4.0,0.1,0.01,0.001,4096,,
0,10,398.0919188079413,654.991674020633,141.19216359524955,0.05,1.7559964158586467,36,FTTLite,64,3.0,4.0,0.1,0.01,0.001,8192,16.0,
0,11,194.1424743594322,388.2849487188644,0.0,0.05,-1.2162410656324028,27,FTTLite,64,3.0,4.0,0.1,0.001,0.001,8192,8.0,
0,12,493.454801992399,682.9163636843272,303.9932403004708,0.1,1.6340524018276597,27,AFN,8,,,0.1,0.01,0.002,16384,,128.0
0,13,478.5786558025085,677.5198562861573,279.6374553188596,0.05,-0.2530956932089907,27,FTTLite,48,2.0,4.0,0.1,0.001,0.001,8192,8.0,
0,14,246.6138189453182,493.2276378906364,0.0,0.05,-12.191902522679072,35,FTT,64,1.0,4.0,0.1,0.01,0.001,4096,,
0,15,591.9656948713215,811.5380925004523,372.3932972421906,0.15,7.146253870321516,14,FTT,64,3.0,4.0,0.1,0.01,0.001,4096,,
0,16,643.8543082581849,811.2280169372488,476.480599579121,0.2,9.725448148906196,11,FTT,64,3.0,4.0,0.1,0.001,0.001,4096,,
0,17,381.3852362073433,711.0437950624271,51.72667735225956,0.05,0.7188333969454561,40,FTTLite,32,2.0,4.0,0.1,0.01,0.001,8192,8.0,
0,18,460.645576316876,644.997700098704,276.293452535048,0.05,-2.029741246079027,16,FTTLite,64,2.0,4.0,0.1,0.01,0.001,8192,8.0,
0,19,328.6491841201056,463.8122003268963,193.48616791331486,0.05,-2.975192549398173,12,AFN,32,,,0.1,0.001,0.002,16384,,64.0
0,20,243.7307125066235,487.461425013247,0.0,0.05,-13.082977753192665,35,FTT,64,1.0,4.0,0.1,0.001,0.001,4096,,
0,21,548.2232493629169,638.3728164308989,458.07368229493494,0.05,-0.8138866883444962,18,FTT,32,3.0,4.0,0.1,0.001,0.001,4096,,
0,22,600.6651916741546,697.0725057431792,504.25787760512986,0.05,-1.2669220895822377,40,FTT,16,1.0,4.0,0.1,0.001,0.001,4096,,
0,23,498.1791067445673,701.1094510565141,295.24876243262054,0.05,-0.2617087308143482,18,FTTLite,48,2.0,4.0,0.1,0.01,0.001,8192,16.0,
0,24,481.7023989887481,679.0881230769985,284.31667490049773,0.05,-0.18155410911322178,27,FTTLite,48,2.0,4.0,0.1,0.01,0.001,8192,8.0,
0,25,377.55993184082627,541.7544635329951,213.36540014865736,0.05,1.40688611672266,13,AFN,32,,,0.1,0.001,0.002,16384,,128.0
0,26,497.0197272733845,684.9378178367948,309.1016367099742,0.05,0.5100405979785592,26,FTTLite,32,3.0,4.0,0.1,0.001,0.001,8192,8.0,
