name,nfeat,avg,se,m24,s24,m22,s22
기준선 (v4 XGB),106,754.1582773092925,1.7738265201828287,808.8642870669282,3.157870189824821,699.4522675516567,1.6166935266250806
K 릴리스일관성,111,752.8979794790268,1.5432267114095468,807.8517710932153,2.4943597998070626,697.9441878648385,1.817790945168935
V VAA/HAA,110,755.3767683488643,1.4673386829714772,809.4367342605468,2.8119880233639694,701.3168024371819,0.8396752935721478
T 터널링,107,753.7272659958317,0.9510430135303177,808.6138414197186,1.8274428094177673,698.8406905719446,0.5276211070897471
A 릴리스이상치,108,754.2672963261077,1.406022171496258,808.5208187507598,2.6473211439834925,700.0137739014556,0.9483059356421553
D 항력,108,752.8854116085547,1.5981113490527246,807.5798586762461,3.0350336212264417,698.1909645408634,1.0022028007891355
M1 무브먼트잔차,107,753.9310531932986,2.016207906296068,808.2250543673841,3.958942528517369,699.6370520192129,0.7662580123819928
M2 압박릴리스이동,108,754.9399744141572,1.1552829652773722,810.1511006542505,2.1745767260662303,699.7288481740637,0.7809807820243637
M3 기만효율,107,753.4803232645626,1.659863071838306,807.7146222864128,3.1395123026987344,699.2460242427123,1.0789087867902836
트랙맨5차 전체,124,754.7888680305414,1.9639636113985295,808.5351299305964,3.2467130723827538,701.0426061304864,2.2107615188457475
양수그룹만(8),114,756.4774764748072,1.4834887641800154,811.3126914179669,2.2566765042131673,701.6422615316476,1.9262312449769978
