max_depth,min_child_weight,n_estimators,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,m24,m22,avg,both
8,3000,1000,0.008,0.7,0.5,50.0,1.0,859.1823953859823,689.1854041027324,774.1838997443574, 
10,3000,1000,0.008,0.7,0.5,50.0,1.0,858.4429844275543,689.4655611986989,773.9542728131266, 
12,3000,1000,0.008,0.7,0.5,50.0,1.0,859.8323614704029,687.2839123236996,773.5581368970513, 
8,3000,600,0.015,0.7,0.5,50.0,1.0,855.7178972662726,690.9557585176973,773.336827891985, 
10,3000,600,0.015,0.7,0.5,50.0,1.0,856.6242719895034,686.5149705071017,771.5696212483026, 
12,3000,600,0.015,0.7,0.5,50.0,1.0,857.3040530319265,685.7996757939854,771.551864412956, 
10,6000,600,0.015,0.7,0.5,50.0,1.0,863.1597107833122,674.1761367058507,768.6679237445815, 
8,6000,600,0.015,0.7,0.5,50.0,1.0,860.0828071176126,675.4040592966915,767.7434332071521, 
12,6000,600,0.015,0.7,0.5,50.0,1.0,861.156145605646,673.2879791037316,767.2220623546888, 
8,6000,1000,0.008,0.7,0.5,50.0,1.0,862.0028904128718,668.8531518824093,765.4280211476405, 
10,6000,1000,0.008,0.7,0.5,50.0,1.0,861.4006282612552,668.8054655682007,765.1030469147279, 
12,6000,1000,0.008,0.7,0.5,50.0,1.0,861.5139251016535,668.4776221580257,764.9957736298396, 
12,3000,600,0.008,0.7,0.5,50.0,1.0,851.1323567257256,678.6348070842663,764.8835819049959, 
10,3000,600,0.008,0.7,0.5,50.0,1.0,850.4823906413051,678.4798265630942,764.4811086021996, 
8,3000,600,0.008,0.7,0.5,50.0,1.0,849.77875763248,678.378493145404,764.0786253889421, 
12,6000,600,0.008,0.7,0.5,50.0,1.0,837.8885523816937,649.8620772491747,743.8753148154342, 
8,6000,600,0.008,0.7,0.5,50.0,1.0,837.5248098940857,650.1541559236989,743.8394829088923, 
10,6000,600,0.008,0.7,0.5,50.0,1.0,837.4949949360832,649.8620772491747,743.678536092629, 
8,12000,600,0.015,0.7,0.5,50.0,1.0,842.6947236114479,489.6002967755275,666.1475101934877, 
10,12000,600,0.015,0.7,0.5,50.0,1.0,842.6947236114479,489.6002967755275,666.1475101934877, 
12,12000,600,0.015,0.7,0.5,50.0,1.0,842.6947236114479,489.6002967755275,666.1475101934877, 
12,12000,1000,0.008,0.7,0.5,50.0,1.0,836.4335824312508,495.19747790566225,665.8155301684565, 
8,12000,1000,0.008,0.7,0.5,50.0,1.0,836.4335824312508,495.19747790566225,665.8155301684565, 
10,12000,1000,0.008,0.7,0.5,50.0,1.0,836.4335824312508,495.19747790566225,665.8155301684565, 
8,12000,600,0.008,0.7,0.5,50.0,1.0,806.7975141783035,499.26273619187447,653.030125185089, 
10,12000,600,0.008,0.7,0.5,50.0,1.0,806.7975141783035,499.26273619187447,653.030125185089, 
12,12000,600,0.008,0.7,0.5,50.0,1.0,806.7975141783035,499.26273619187447,653.030125185089, 
