model,name,bss,iterations,learning_rate,depth,l2_leaf_reg,n_estimators,num_leaves,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_lambda
cb,현재 d6 n2000 lr0.03,745.1125601755205,2000.0,0.03,6.0,50.0,,,,,,,
cb,d8 n2000 lr0.03,639.4788876141422,2000.0,0.03,8.0,50.0,,,,,,,
cb,d10 n2000 lr0.03,436.6829936283123,2000.0,0.03,10.0,50.0,,,,,,,
cb,d8 n4000 lr0.015,693.4749913756866,4000.0,0.015,8.0,50.0,,,,,,,
cb,d8 n2000 l2=200,640.2797029286367,2000.0,0.03,8.0,200.0,,,,,,,
lgb,현재 leaves31 mcs1500,796.2782788998313,,0.01,,,1200.0,31.0,1500.0,0.7,1.0,0.5,50.0
lgb,leaves15 mcs1500,825.1934383634363,,0.01,,,1200.0,15.0,1500.0,0.7,1.0,0.5,50.0
lgb,leaves15 mcs6000,830.8395918051658,,0.01,,,1200.0,15.0,6000.0,0.7,1.0,0.5,50.0
lgb,leaves31 mcs6000,812.7264934204459,,0.01,,,1200.0,31.0,6000.0,0.7,1.0,0.5,50.0
lgb,leaves31 mcs12000,815.7411923705449,,0.01,,,1200.0,31.0,12000.0,0.7,1.0,0.5,50.0
lgb,leaves63 mcs6000,794.7597287070729,,0.01,,,1200.0,63.0,6000.0,0.7,1.0,0.5,50.0
lgb,leaves31 mcs6000 n2500 lr0.005,814.7878052624957,,0.005,,,2500.0,31.0,6000.0,0.7,1.0,0.5,50.0
lgb,leaves15 mcs6000 n2500 lr0.005,824.0073103360279,,0.005,,,2500.0,15.0,6000.0,0.7,1.0,0.5,50.0
