name,bss,sec
기준 d10/mcw6000/n600/lr0.015,859.5461378735903,52.85362720489502
H1 n2000 lr0.005 d10,867.6915843994548,131.70838952064514
H1 n4000 lr0.004 d10,869.6712976107191,243.7184281349182
H1 n2000 lr0.005 d12,865.9980947850032,131.61404967308044
H1 lossguide leaves512,868.0612898786633,115.23232936859131
H1 lossguide leaves2048,868.0612898786633,112.19264507293701
H2 dart n1000 lr0.02,857.4292758555257,383.0952217578888
H5 n8000 lr0.002,870.4285975439485,247.43651342391968
H4 linear_tree leaves31,0.0,681.7949488162994
H4 linear_tree leaves15,0.0,517.7628836631775
H3 exact n300 lr0.03,848.7411970940495,424.93751096725464
