raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,epochs,shrink,nn,w
613.6987415385709,647.8607047008644,660.7213983586213,0.4969162344932556,A,base48,2024.0,46.0,,,,,,,,,,,,,,,,,,,,,,
471.1561074192461,406.3360557517992,471.95480966508717,0.49853014945983887,A,base48,2023.0,46.0,,,,,,,,,,,,,,,,,,,,,,
781.6990087819886,808.8937687011244,821.6590212185571,0.4960932731628418,A,deconv,2024.0,69.0,,,,,,,,,,,,,,,,,,,,,,
714.2178901270113,664.2751579043371,729.7449002045986,0.49372410774230957,A,deconv,2023.0,69.0,,,,,,,,,,,,,,,,,,,,,,
787.3896867733987,821.7067417887191,834.4719943061407,0.4969450533390045,A,deconv+tm,2024.0,85.0,,,,,,,,,,,,,,,,,,,,,,
705.9805281587894,653.9158705665903,719.3319686861544,0.4941845238208771,A,deconv+tm,2023.0,85.0,,,,,,,,,,,,,,,,,,,,,,
776.2171082850156,803.3462524201896,816.0995747950817,0.4960831105709076,A,deconv+cl,2024.0,74.0,,,,,,,,,,,,,,,,,,,,,,
712.5072368094454,662.695634806243,728.1415352484055,0.4937068819999695,A,deconv+cl,2023.0,74.0,,,,,,,,,,,,,,,,,,,,,,
785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,A,full,2024.0,90.0,,,,,,,,,,,,,,,,,,,,,,
703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,A,full,2023.0,90.0,,,,,,,,,,,,,,,,,,,,,,
,,,,B,,,,0.0,755.7314091766854,790.7480218983131,798.4369987651174,811.1187402847664,0.49324139952659607,720.7147964550576,666.5818576740202,731.9025883612551,0.4946788251399994,900.0,0.008,5.0,4000.0,0.5,0.5,200.0,0.0,,,,
,,,,B,,,,1.0,705.865802628397,712.635413619922,736.9072886168505,749.5174492812673,0.49571508169174194,699.096191636872,634.3297841501117,700.1809961797223,0.4983070492744446,250.0,0.012,5.0,200.0,0.9,0.3,10.0,0.0,,,,
,,,,B,,,,2.0,708.0133530018851,724.971181005929,743.8327363611163,756.4548271680737,0.49498480558395386,691.0555249978412,626.4202477305525,692.2595388311192,0.49822017550468445,150.0,0.02,6.0,1500.0,0.9,0.3,10.0,1.0,,,,
,,,,B,,,,3.0,381.61010437951506,333.2449507163715,480.54642065348264,493.06710524884556,0.5060872435569763,429.9752580426586,404.4763908212068,470.95345162553315,0.5100533962249756,150.0,0.005,6.0,600.0,0.5,0.5,10.0,10.0,,,,
,,,,B,,,,4.0,552.2055786398195,521.1148703595736,601.1959521570076,613.7464621087219,0.5013222098350525,583.2962869200653,526.4692181754738,592.761504579642,0.5048050284385681,150.0,0.008,5.0,1500.0,0.5,0.7,50.0,0.0,,,,
,,,,B,,,,5.0,678.4525492832872,678.9745164442862,705.3460965281921,717.8966064799064,0.495979368686676,677.9305821222881,613.2833839259443,679.0451889877369,0.49827706813812256,600.0,0.005,4.0,200.0,0.5,0.7,800.0,1.0,,,,
,,,,B,,,,6.0,745.5080147682647,787.6461848379979,803.9129341908202,816.6483613519016,0.4946078658103943,703.3698446985314,655.0185565030065,720.279682545022,0.49345988035202026,900.0,0.03,3.0,4000.0,0.9,0.5,800.0,0.0,,,,
,,,,B,,,,7.0,722.364848527196,737.0325551135148,754.349157009826,766.9294923178916,0.4947630763053894,707.6971419408773,646.5844992055825,712.1674903317388,0.49662530422210693,900.0,0.005,4.0,200.0,0.7,0.5,800.0,0.0,,,,
,,,,B,,,,8.0,756.8368420362792,774.7079452537497,795.8481578340115,808.5597247100118,0.4953010380268097,738.9657388188086,681.8346863836312,747.3282705419692,0.4953964352607727,600.0,0.008,6.0,1500.0,0.7,0.5,50.0,1.0,,,,
,,,,B,,,,9.0,703.4713635339197,716.9541252192823,741.5898695636636,754.1821350142696,0.49575984477996826,689.9886018485569,624.7274758065413,690.4892808683338,0.49884548783302307,250.0,0.012,6.0,1500.0,0.9,0.5,800.0,10.0,,,,
,,,,B,,,,10.0,729.2399613714306,744.0176535704834,755.0470703483913,767.7288118680514,0.4938080906867981,714.4622691723779,653.6953333793116,719.2604431119021,0.49650129675865173,150.0,0.03,4.0,4000.0,0.7,0.5,10.0,10.0,,,,
,,,,B,,,,11.0,733.4269767895084,766.6252736831302,796.4386998897232,809.1860571933452,0.4964095950126648,700.2286798958868,647.043454973717,712.346304267375,0.4944520592689514,900.0,0.03,4.0,200.0,0.5,0.3,800.0,0.0,,,,
,,,,B,,,,12.0,740.9819784354011,766.917562175351,776.9806374075539,789.59676314323,0.493642657995224,715.0463946954511,656.6576842463201,722.085703294928,0.49577537178993225,400.0,0.012,5.0,4000.0,0.7,0.7,800.0,1.0,,,,
,,,,B,,,,13.0,671.7375878386667,716.2741070945167,754.6832010009385,767.6333707277272,0.49740928411483765,627.2010685828167,577.2762177537084,642.5850275118994,0.49373868107795715,900.0,0.03,6.0,600.0,0.5,0.7,200.0,1.0,,,,
,,,,B,,,,14.0,697.5231789696612,764.1915246050402,801.8012989613021,814.5904117638158,0.4973192811012268,630.8548333342823,580.3458569821007,645.7559946371427,0.49382808804512024,900.0,0.02,6.0,600.0,0.9,0.5,10.0,0.0,,,,
,,,,B,,,,15.0,588.4007067837483,575.6773772646828,628.1819345817064,640.7682349610421,0.4988625943660736,601.1240363028137,538.5689611533961,604.7181964090598,0.5029451251029968,250.0,0.008,4.0,1500.0,0.5,0.3,200.0,10.0,,,,
,,,,B,,,,16.0,744.0608120658887,775.2925222381913,807.2354788881131,819.9768711204647,0.4966677129268646,712.8291018935862,663.3989696197328,728.8389095973846,0.49363094568252563,400.0,0.03,5.0,200.0,0.9,0.7,200.0,0.0,,,,
,,,,B,,,,17.0,705.2355294057068,708.895313933744,729.1288356809922,741.7151360603281,0.49517396092414856,701.5757448776694,638.2875325921522,704.0076144022911,0.49749279022216797,250.0,0.012,4.0,600.0,0.7,0.7,10.0,1.0,,,,
,,,,B,,,,18.0,730.8314126428406,751.7543510074498,760.839154551396,773.4552802870832,0.4934750497341156,709.9084742782313,649.1713408077637,714.6768458951458,0.4965166449546814,150.0,0.03,5.0,4000.0,0.7,0.5,800.0,1.0,,,,
,,,,B,,,,19.0,730.6566246714164,754.4624933639499,787.4612676286418,800.2026598609824,0.4967903792858124,706.8507559788828,655.4953936646957,720.9949382875558,0.49401241540908813,900.0,0.02,3.0,600.0,0.9,0.3,50.0,1.0,,,,
,,,,B,,,,20.0,745.5846228872797,777.6546904610382,790.604860187838,803.3760777765408,0.49411219358444214,713.5145553135213,662.8267650257036,728.1653771064933,0.4939058721065521,600.0,0.03,3.0,4000.0,0.7,0.3,10.0,1.0,,,,
,,,,B,,,,21.0,741.8422593182538,772.0296282535899,798.0611992751241,810.8443470063564,0.49594348669052124,711.6548903829179,657.2179679113054,722.6936706760778,0.4947110712528229,900.0,0.012,4.0,1500.0,0.9,0.3,10.0,1.0,,,,
,,,,B,,,,22.0,693.0717961578237,697.5378182359937,717.7415146268906,730.339745148767,0.4951647222042084,688.6057740796537,624.9003292776556,690.6382924813603,0.49771055579185486,600.0,0.005,4.0,4000.0,0.7,0.5,10.0,0.0,,,,
,,,,B,,,,23.0,725.0396328193854,748.6763742322156,766.8579114626484,779.5038625546869,0.49488896131515503,701.4028914065551,638.7405278957536,704.3950445961733,0.4972250461578369,600.0,0.008,5.0,200.0,0.9,0.3,800.0,10.0,,,,
