name,f2023,f2024,max_depth,min_child_weight,n_estimators,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha
현재 v9  d6/mcw1500/n600/lr.008,799.0401732565932,821.7049931787845,6,1500,600,0.008,0.7,0.5,50.0,1.0
#1 d10/mcw6000/n600/lr.015,766.5424569878287,863.1597107833122,10,6000,600,0.015,0.7,0.5,50.0,1.0
#2 d8/mcw6000/n1000/lr.008,769.5764514083714,862.0028904128718,8,6000,1000,0.008,0.7,0.5,50.0,1.0
#3 d12/mcw6000/n1000/lr.008,769.9102504015954,861.5139251016535,12,6000,1000,0.008,0.7,0.5,50.0,1.0
#4 d10/mcw6000/n1000/lr.008,770.3930668025105,861.4006282612552,10,6000,1000,0.008,0.7,0.5,50.0,1.0
#5 d12/mcw6000/n600/lr.015,764.4740953691165,861.156145605646,12,6000,600,0.015,0.7,0.5,50.0,1.0
mcw3000 d8/n1000/lr.008,786.5107896181223,859.1823953859823,8,3000,1000,0.008,0.7,0.5,50.0,1.0
mcw3000 d10/n1000/lr.008,781.4680405419327,858.4429844275543,10,3000,1000,0.008,0.7,0.5,50.0,1.0
v10 출시본 d10/mcw6000/n2000/lr.005,766.0954047647662,867.512694651451,10,6000,2000,0.005,0.7,0.5,50.0,1.0
27차최고 d10/mcw6000/n4000/lr.004,749.7154113116244,867.7750662818618,10,6000,4000,0.004,0.7,0.5,50.0,1.0
