name,nfeat,avg,se,m2024,s2024,m2023,s2023,stage,raw_2024,trend_2024,oracle_2024,raw_2023,trend_2023,oracle_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha
기준선(deconv),69.0,757.4734052014887,2.4809970105227923,781.5064221952708,3.0838284673250937,733.4403882077067,3.887336703838181,,,,,,,,,,,,,,,
S1 투수x상황성적표,95.0,767.9159553453933,2.111290510837918,794.2614488762387,2.5899795027670973,741.5704618145479,3.334995751101229,,,,,,,,,,,,,,,
S2 매치업이력,72.0,763.1070515498677,2.170724390904458,787.422920741903,2.5305140396778043,738.7911823578326,3.527701265705989,,,,,,,,,,,,,,,
S3-5 트랙맨(제어난이도),82.0,754.2255184766184,2.1564158486404637,778.5630856001322,1.1504381628290499,729.8879513531047,4.156562195201415,,,,,,,,,,,,,,,
S6 압박성향(원값),72.0,754.0017510241677,1.3909736025822512,779.0181353227161,1.6875108971804709,728.9853667256192,2.211681989848393,,,,,,,,,,,,,,,
S7 홈/추운달,73.0,757.511511221077,1.8831884376450019,780.9593399445233,2.150753576584465,734.0636824976306,3.0919013275860574,,,,,,,,,,,,,,,
S8 견제부담,71.0,757.0822488588551,2.002471174061609,780.6772772887643,1.7602916056064204,733.4872204289459,3.5973513416154232,,,,,,,,,,,,,,,
결합: S1,95.0,767.9159553453933,2.111290510837918,794.2614488762387,2.5899795027670973,741.5704618145479,3.334995751101229,,,,,,,,,,,,,,,
결합: S1+S2,98.0,771.3959711808461,1.9895103258415074,797.455318464711,3.200918219780118,745.3366238969813,2.363626006118482,,,,,,,,,,,,,,,
결합: S1+S2+S7,102.0,771.0491926069128,2.181072354164676,796.8852280819259,3.04609776962176,745.2131571318996,3.1224341200914245,,,,,,,,,,,,,,,
전체결합,120.0,767.4404164855216,2.3652284051514294,794.3159866707049,2.410206069561064,740.5648463003383,4.070396582200769,,,,,,,,,,,,,,,
HP0,,751.6984362753387,,,,,,hp,788.886919662124,803.1315098544711,815.8430767304714,714.5099528885535,660.4723815398561,725.8527168722884,1000.0,0.012,4.0,1500.0,1.0,0.25,800.0,1.0
HP1,,766.6593108161424,,,,,,hp,796.8860802349598,807.4740817389126,820.1259979022102,736.4325413973249,682.2996026162875,747.6143728389894,300.0,0.02,7.0,3000.0,0.8,0.6,800.0,1.0
HP2,,665.4778430817631,,,,,,hp,674.4291321366779,692.5271583693382,705.1194238199444,656.5265540268483,591.4978861011666,657.3789004533759,300.0,0.008,6.0,6000.0,0.8,0.4,10.0,0.0
HP3,,689.8229905775266,,,,,,hp,696.6251623317099,713.9357991567508,726.5280646073458,683.0208188233433,618.6478019949759,684.4215279858123,500.0,0.005,5.0,6000.0,1.0,0.6,50.0,1.0
HP4,,691.9858735471796,,,,,,hp,779.5396529823084,798.5682303330522,811.4468192046087,604.4320941120507,556.0986873100804,621.5267063586882,1000.0,0.02,7.0,500.0,0.8,0.4,10.0,10.0
HP5,,749.6483796828379,,,,,,hp,789.7757152813267,806.8298540417684,819.6130017730007,709.5210440843491,661.1637954243022,726.4785656470152,1000.0,0.02,4.0,3000.0,1.0,0.4,200.0,10.0
HP6,,702.3932654147413,,,,,,hp,711.1680060875481,733.7577309863841,746.3559615082604,693.6185247419346,628.5481335645993,694.4351083813305,300.0,0.008,7.0,500.0,0.6,0.4,10.0,10.0
HP7,,776.6153188108971,,,,,,hp,817.5848775412665,821.8677987130052,834.5853306602758,735.6457600805277,683.5155373785984,748.6932169173177,700.0,0.02,6.0,3000.0,0.6,0.4,200.0,0.0
HP8,,677.4774493415014,,,,,,hp,685.231876206338,700.5859696548766,713.2259556756337,669.7230224766648,605.7672381647894,671.5528850846586,700.0,0.005,4.0,3000.0,1.0,0.25,200.0,10.0
HP9,,767.2762745092043,,,,,,hp,804.7480441686017,805.3027957966918,817.9487468887193,729.804504849807,672.8403454212217,738.2266412181871,700.0,0.008,7.0,6000.0,1.0,0.4,10.0,10.0
