name,m24,m23
기준 leaves10,827.0887828946471,790.1894103785834
colsample.3,828.9500778337678,795.4551415923161
colsample.2,834.0719811583464,795.8872614492019
colsample.15,837.716832739277,800.1546994792941
cs.2+mcs12000,834.5876912991268,801.8691755408591
lambda200,830.6452036825451,791.5648960112986
lambda500,839.4373641572695,788.5784930885653
lambda1000,846.81759605435,785.9641205452461
subsample.5,821.8533523154825,786.2936545495525
extra_trees,856.2020672640447,796.4633489283002
mcs20000,831.058270443319,789.4852179706091
mcs40000,858.9555723176101,775.0769403395142
mcs60000,861.3974088367727,770.7457985315136
cs.2+mcs40000,855.6331834756459,779.5797217925782
