raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
488.99296157155493,553.755740348072,566.896792355498,0.4999951422214508,featset,base48,2024.0,46.0,,,,,,,,,,,,,,,,,
266.2532185758515,203.91272014920193,269.108281081476,0.4972397983074188,featset,base48,2023.0,46.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,deconv,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,deconv,2023.0,74.0,,,,,,,,,,,,,,,,,
606.916455504769,657.0528795276754,670.1760363212906,0.4986339211463928,featset,full,2024.0,90.0,,,,,,,,,,,,,,,,,
414.39460378438486,358.1337791693007,423.5856400759963,0.4951131045818329,featset,full,2023.0,90.0,,,,,,,,,,,,,,,,,
620.6898050668098,669.3051359158985,682.3925022819033,0.49847841262817383,featset,no_clutch,2024.0,85.0,,,,,,,,,,,,,,,,,
397.1867427118414,341.13453435499207,406.6638813004619,0.4950510561466217,featset,no_clutch,2023.0,85.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,no_tm,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,no_tm,2023.0,74.0,,,,,,,,,,,,,,,,,
,,,,search,,,,0.0,655.8708974129634,701.009489715032,754.3730172949071,767.3470473067767,0.49894604086875916,610.7323051108948,561.6121169921385,626.9447686084173,0.4935764670372009,500.0,0.08,4.0,1000.0,0.8,0.6,20.0
,,,,search,,,,1.0,510.505992862198,605.5564192552487,645.2301082708777,658.3115095656011,0.4975433051586151,415.4555664691473,363.9809948645434,429.4984208809693,0.49397629499435425,500.0,0.08,4.0,50.0,0.6,0.8,5.0
,,,,search,,,,2.0,296.21024137562733,453.3456956630655,497.9584636901069,511.3560137621431,0.498060017824173,139.07478708818923,81.8781695432813,147.29426766284524,0.4953388273715973,1200.0,0.08,4.0,150.0,0.8,0.6,5.0
,,,,search,,,,3.0,673.1157802515763,735.1416275209855,775.7935882248601,788.6662120251464,0.4976496398448944,611.0899329821673,555.3774711030246,620.5015064610575,0.4951145052909851,500.0,0.03,8.0,1000.0,0.6,0.6,20.0
,,,,search,,,,4.0,137.9304825503136,275.8609651006272,342.9799470287209,356.62803009408606,0.5002056360244751,0.0,0.0,0.0,0.49714237451553345,2000.0,0.08,4.0,400.0,0.6,0.6,100.0
,,,,search,,,,5.0,55.523022957648664,111.04604591529733,176.90043273419496,190.84080429178084,0.5000828504562378,0.0,0.0,0.0,0.4962168335914612,800.0,0.08,7.0,400.0,0.6,0.6,5.0
,,,,search,,,,6.0,612.9471455443736,679.2369795801557,723.7662366094244,736.716406336213,0.4980601966381073,546.6573115085915,499.84382315951814,565.1228305950995,0.4931411147117615,800.0,0.08,4.0,1000.0,1.0,0.4,100.0
,,,,search,,,,7.0,0.0,0.0,0.0,0.0,0.5036055445671082,0.0,0.0,0.0,0.4991551637649536,2000.0,0.05,7.0,400.0,0.6,0.8,1.0
,,,,search,,,,8.0,740.5854463085448,766.5000071864658,793.2533518316353,806.0066742065275,0.49603646993637085,714.6708854306238,659.1491584161613,724.5831379292911,0.4949917495250702,500.0,0.02,4.0,50.0,0.8,0.4,5.0
,,,,search,,,,9.0,509.98317878472864,609.9765370661925,666.4061112787612,679.4875125734956,0.49923619627952576,409.9898205032648,352.0004611770378,417.5536499805954,0.4955517053604126,1200.0,0.05,4.0,150.0,0.8,0.6,5.0
,,,,search,,,,10.0,52.355570113371556,104.71114022674311,195.85146415843636,209.69042950443884,0.5021970868110657,0.0,0.0,0.0,0.4976595342159271,2000.0,0.05,7.0,400.0,1.0,0.4,20.0
,,,,search,,,,11.0,159.53000561835796,319.0600112367159,385.3200229019582,398.84880454192916,0.5001426935195923,0.0,0.0,0.0,0.49810436367988586,2000.0,0.03,8.0,150.0,1.0,0.4,100.0
,,,,search,,,,12.0,565.4707504687995,660.4470050802003,694.6149333137752,707.5770331831044,0.49692580103874207,470.49449585739865,414.078699164766,479.10736709045887,0.4953102469444275,500.0,0.05,8.0,1000.0,0.6,0.4,1.0
,,,,search,,,,13.0,702.9705782603701,762.9865802085357,801.3479535447954,814.2086472025412,0.4974006414413452,642.9545763122046,593.1846975606447,658.5769538221319,0.49370038509368896,500.0,0.02,8.0,1000.0,1.0,0.6,5.0
,,,,search,,,,14.0,717.1582505088147,767.5617898724952,799.8089651571782,812.5861478171514,0.49670764803886414,666.7547111451344,614.2489791783778,679.6531563688978,0.49428272247314453,800.0,0.02,5.0,150.0,0.8,0.4,100.0
,,,,search,,,,15.0,625.3911384309807,698.6174961358338,745.0197855438101,757.9699552706098,0.498253732919693,552.1647807261277,503.0922763235468,568.5024139785888,0.49354735016822815,800.0,0.05,4.0,150.0,1.0,0.4,20.0
